word,sentiment,n,value
loyalty,positive,12,3
peacefully,positive,12,2
poison,negative,12,-2
sabotage,negative,12,-2
scare,negative,12,-2
secure,positive,12,2
selfish,negative,12,-3
suspect,negative,12,-1
vicious,negative,12,-2
warned,negative,12,-2
bother,negative,11,-2
catastrophic,negative,11,-4
cruel,negative,11,-3
disregard,negative,11,-2
distraction,negative,11,-2
embarrassment,negative,11,-2
enjoy,positive,11,2
gains,positive,11,2
hating,negative,11,-3
hurting,negative,11,-2
missed,negative,11,-2
prominent,positive,11,2
solid,positive,11,2
struggle,negative,11,-2
travesty,negative,11,-2
advantage,positive,10,2
anxiety,negative,10,-2
bitter,negative,10,-2
comfort,positive,10,2
contempt,negative,10,-2
cruelty,negative,10,-3
cynical,negative,10,-2
decisive,positive,10,1
endorses,positive,10,2
guilty,negative,10,-3
humor,positive,10,2
hysteria,negative,10,-3
jerk,negative,10,-3
lame,negative,10,-2
moron,negative,10,-3
murder,negative,10,-2
myth,negative,10,-1
oppressive,negative,10,-2
punish,negative,10,-2
strike,negative,10,-1
upset,negative,10,-2
violate,negative,10,-2
vulnerable,negative,10,-2
wonderful,positive,10,4
bully,negative,9,-2
congratulations,positive,9,2
criticize,negative,9,-2
critics,negative,9,-2
defender,positive,9,2
disastrous,negative,9,-3
effectively,positive,9,2
endorse,positive,9,2
excited,positive,9,3
falling,negative,9,-1
farce,negative,9,-1
harsh,negative,9,-2
hurts,negative,9,-2
loose,negative,9,-3
loved,positive,9,3
negative,negative,9,-2
smear,negative,9,-2
threaten,negative,9,-2
unclear,negative,9,-1
wasting,negative,9,-2
bargain,positive,8,2
biased,negative,8,-2
capable,positive,8,1
chaotic,negative,8,-2
competitive,positive,8,2
complain,negative,8,-2
doomed,negative,8,-2
encourage,positive,8,2
fails,negative,8,-2
failures,negative,8,-2
fun,positive,8,4
grief,negative,8,-2
helpful,positive,8,2
idiotic,negative,8,-3
infuriating,negative,8,-2
loyal,positive,8,3
manipulation,negative,8,-1
motivated,positive,8,2
odd,negative,8,-2
praise,positive,8,3
promises,positive,8,1
regret,negative,8,-2
rejecting,negative,8,-1
revenge,negative,8,-2
strange,negative,8,-1
strongest,positive,8,2
suicide,negative,8,-2
suspicious,negative,8,-2
terror,negative,8,-3
totalitarian,negative,8,-2
trouble,negative,8,-2
unjust,negative,8,-2
unstable,negative,8,-2
vigilant,positive,8,3
accomplished,positive,7,2
accusing,negative,7,-2
appalled,negative,7,-2
astounding,positive,7,3
betrayal,negative,7,-3
brave,positive,7,2
condemnation,negative,7,-2
confident,positive,7,2
curse,negative,7,-1
darkness,negative,7,-1
deceitful,negative,7,-3
dedicated,positive,7,2
defiant,negative,7,-1
denies,negative,7,-2
devastated,negative,7,-2
disappointed,negative,7,-2
disputed,negative,7,-2
distrust,negative,7,-3
disturbed,negative,7,-2
emergency,negative,7,-2
endorsement,positive,7,2
error,negative,7,-2
errors,negative,7,-2
ethical,positive,7,2
fallen,negative,7,-2
hilarious,positive,7,2
ineffective,negative,7,-2
intelligent,positive,7,2
lazy,negative,7,-1
murderous,negative,7,-3
nasty,negative,7,-3
pain,negative,7,-2
poverty,negative,7,-1
rage,negative,7,-2
reward,positive,7,2
risks,negative,7,-2
ruining,negative,7,-2
scream,negative,7,-2
screwed,negative,7,-2
sincerely,positive,7,2
starve,negative,7,-2
stronger,positive,7,2
sucks,negative,7,-3
tragic,negative,7,-2
warm,positive,7,1
abuses,negative,6,-3
abusive,negative,6,-3
accusation,negative,6,-2
advanced,positive,6,1
alarm,negative,6,-2
anxious,negative,6,-2
arrogant,negative,6,-2
bastards,negative,6,-5
beautiful,positive,6,3
burden,negative,6,-2
catastrophe,negative,6,-3
cheats,negative,6,-3
complacent,negative,6,-2
complained,negative,6,-2
confusing,negative,6,-2
controversial,negative,6,-2
criticism,negative,6,-2
cute,positive,6,2
delayed,negative,6,-1
disappointment,negative,6,-2
dislike,negative,6,-2
doom,negative,6,-2
doubts,negative,6,-1
downside,negative,6,-2
fervent,positive,6,2
fiasco,negative,6,-3
frustrated,negative,6,-2
gained,positive,6,2
grand,positive,6,3
guarantee,positive,6,1
imbecile,negative,6,-3
impressed,positive,6,3
inaction,negative,6,-2
ironic,negative,6,-1
limited,negative,6,-1
madness,negative,6,-3
meaningful,positive,6,2
miserable,negative,6,-3
scam,negative,6,-2
silly,negative,6,-1
subversive,negative,6,-2
supportive,positive,6,2
sweet,positive,6,2
thwart,negative,6,-2
unwanted,negative,6,-2
virulent,negative,6,-2
wealthy,positive,6,2
accuse,negative,5,-2
applaud,positive,5,2
bloody,negative,5,-3
boycott,negative,5,-2
calm,positive,5,2
collapse,negative,5,-2
damned,negative,5,-4
deceit,negative,5,-3
dick,negative,5,-4
disruptive,negative,5,-2
dragged,negative,5,-1
exploit,negative,5,-2
frustrating,negative,5,-2
frustration,negative,5,-2
goodness,positive,5,3
greedy,negative,5,-2
gullible,negative,5,-2
harms,negative,5,-2
haters,negative,5,-3
hopeful,positive,5,2
inability,negative,5,-2
intimidating,negative,5,-2
joy,positive,5,3
lucky,positive,5,3
prick,negative,5,-5
recommend,positive,5,2
regrets,negative,5,-2
relentless,negative,5,-1
remarkable,positive,5,2
rewarding,positive,5,2
robust,positive,5,2
shock,negative,5,-2
sincere,positive,5,2
skeptical,negative,5,-2
stab,negative,5,-2
struggles,negative,5,-2
unequal,negative,5,-1
woo,positive,5,3
alarmed,negative,4,-2
amazed,positive,4,2
appalling,negative,4,-2
awkward,negative,4,-2
bastard,negative,4,-5
bless,positive,4,2
clueless,negative,4,-2
comfortable,positive,4,2
crushed,negative,4,-2
cynicism,negative,4,-2
debt,negative,4,-2
delay,negative,4,-1
depressing,negative,4,-2
disgraced,negative,4,-2
distorted,negative,4,-2
drags,negative,4,-1
dumped,negative,4,-2
encouragement,positive,4,2
exclusion,negative,4,-1
exhausted,negative,4,-2
fame,positive,4,1
fantastic,positive,4,4
grace,positive,4,1
grateful,positive,4,3
hero,positive,4,2
hesitant,negative,4,-2
imposing,negative,4,-1
impress,positive,4,3
inadequate,negative,4,-2
incompetence,negative,4,-2
innovation,positive,4,1
insult,negative,4,-2
kudos,positive,4,3
loathe,negative,4,-3
mature,positive,4,2
mistakes,negative,4,-2
mocking,negative,4,-2
obstacle,negative,4,-2
panic,negative,4,-3
pity,negative,4,-2
responsive,positive,4,2
ruins,negative,4,-2
scandals,negative,4,-3
severe,negative,4,-2
smartest,positive,4,2
solidarity,positive,4,2
struck,negative,4,-1
stunned,positive,4,-2
stunning,positive,4,4
touted,negative,4,-2
treasure,positive,4,2
unhappy,negative,4,-2
willingness,positive,4,2
worrying,negative,4,-3
abused,negative,3,-3
accomplish,positive,3,2
accuses,negative,3,-2
adequate,positive,3,1
annoying,negative,3,-2
awesome,positive,3,4
boost,positive,3,1
bothered,negative,3,-2
bothers,negative,3,-2
cheer,positive,3,2
courage,positive,3,2
critic,negative,3,-2
criticized,negative,3,-2
criticizing,negative,3,-2
devastating,negative,3,-2
dilemma,negative,3,-1
dire,negative,3,-3
disadvantage,negative,3,-2
distract,negative,3,-2
drag,negative,3,-1
dread,negative,3,-2
dubious,negative,3,-2
enjoying,positive,3,2
enraged,negative,3,-2
excellence,positive,3,3
frenzy,negative,3,-3
futile,negative,3,2
glorious,positive,3,2
glory,positive,3,2
harmed,negative,3,-2
hated,negative,3,-3
illness,negative,3,-2
imperfect,negative,3,-2
improve,positive,3,2
indifferent,negative,3,-2
insecure,negative,3,-2
inspiring,positive,3,3
insulted,negative,3,-2
insults,negative,3,-2
