word,sentiment,n,value
intelligent,positive,9,2
lied,negative,9,-2
luck,positive,9,3
mocking,negative,9,-2
pardon,positive,9,2
privileged,positive,9,2
promises,positive,9,1
recommend,positive,9,2
reward,positive,9,2
scream,negative,9,-2
secure,positive,9,2
shameful,negative,9,-2
steal,negative,9,-2
stuck,negative,9,-2
suck,negative,9,-3
trusted,positive,9,2
upset,negative,9,-2
abusive,negative,8,-3
accuse,negative,8,-2
badly,negative,8,-3
blessing,positive,8,3
bloody,negative,8,-3
bully,negative,8,-2
crush,negative,8,-1
dirty,negative,8,-2
failure,negative,8,-2
favor,positive,8,2
helpful,positive,8,2
hurts,negative,8,-2
loss,negative,8,-3
merry,positive,8,3
murderer,negative,8,-2
naive,negative,8,-2
paradise,positive,8,3
penalty,negative,8,-2
pity,negative,8,-2
poverty,negative,8,-1
refusing,negative,8,-2
shock,negative,8,-2
silly,negative,8,-1
sincere,positive,8,2
annoying,negative,7,-2
compassionate,positive,7,2
creative,positive,7,2
cruel,negative,7,-3
defeated,positive,7,-2
enjoying,positive,7,2
fallen,negative,7,-2
guarantee,positive,7,1
hardship,negative,7,-2
insulted,negative,7,-2
lame,negative,7,-2
loose,negative,7,-3
meaningful,positive,7,2
mock,negative,7,-2
moron,negative,7,-3
motivated,positive,7,2
outstanding,positive,7,5
prominent,positive,7,2
rant,negative,7,-3
scandal,negative,7,-3
struggling,negative,7,-2
suspect,negative,7,-1
threatening,negative,7,-2
abused,negative,6,-3
aggressive,negative,6,-2
award,positive,6,3
biased,negative,6,-2
bothered,negative,6,-2
condemns,negative,6,-2
cute,positive,6,2
deceit,negative,6,-3
denies,negative,6,-2
disappointing,negative,6,-2
drag,negative,6,-1
dump,negative,6,-1
emergency,negative,6,-2
failures,negative,6,-2
fool,negative,6,-2
haters,negative,6,-3
hoax,negative,6,-2
hopeful,positive,6,2
hostile,negative,6,-2
hypocritical,negative,6,-2
hysteria,negative,6,-3
injustice,negative,6,-2
lovely,positive,6,3
lucky,positive,6,3
marvel,positive,6,3
misleading,negative,6,-3
mocked,negative,6,-2
panic,negative,6,-3
pathetic,negative,6,-2
rage,negative,6,-2
remarkable,positive,6,2
revenge,negative,6,-2
sincerely,positive,6,2
sincerity,positive,6,2
smear,negative,6,-2
sucks,negative,6,-3
suicide,negative,6,-2
unbelievable,negative,6,-1
vulnerable,negative,6,-2
waste,negative,6,-1
winner,positive,6,4
worthy,positive,6,2
abuses,negative,5,-3
approval,positive,5,2
bitter,negative,5,-2
bothers,negative,5,-2
brilliant,positive,5,4
bullying,negative,5,-2
burden,negative,5,-2
capable,positive,5,1
complained,negative,5,-2
cowardly,negative,5,-2
crash,negative,5,-2
damned,negative,5,-4
dire,negative,5,-3
disturbed,negative,5,-2
dragged,negative,5,-1
enraged,negative,5,-2
envy,positive,5,-1
excellence,positive,5,3
failing,negative,5,-2
fascinating,positive,5,3
gained,positive,5,2
gains,positive,5,2
gleeful,positive,5,3
grand,positive,5,3
greed,negative,5,-3
gross,negative,5,-2
horrific,negative,5,-3
horrified,negative,5,-3
hurting,negative,5,-2
imposing,negative,5,-1
inspiration,positive,5,2
lunatic,negative,5,-3
meaningless,negative,5,-2
mistakes,negative,5,-2
obnoxious,negative,5,-3
odd,negative,5,-2
pleased,positive,5,3
pleasure,positive,5,3
praise,positive,5,3
praising,positive,5,3
provoke,negative,5,-1
restored,positive,5,1
ruined,negative,5,-2
scam,negative,5,-2
stronger,positive,5,2
struggles,negative,5,-2
sweet,positive,5,2
tension,negative,5,-1
tortured,negative,5,-4
tragic,negative,5,-2
trap,negative,5,-1
undermine,negative,5,-2
unjust,negative,5,-2
unwanted,negative,5,-2
vicious,negative,5,-2
accomplished,positive,4,2
accusing,negative,4,-2
arrogant,negative,4,-2
awarded,positive,4,3
bankrupt,negative,4,-3
bastard,negative,4,-5
bastards,negative,4,-5
bizarre,negative,4,-2
boring,negative,4,-3
classy,positive,4,3
commitment,positive,4,2
complain,negative,4,-2
curse,negative,4,-1
deceive,negative,4,-3
decisive,positive,4,1
dick,negative,4,-4
dirt,negative,4,-2
disdain,negative,4,-2
distract,negative,4,-2
doom,negative,4,-2
dumped,negative,4,-2
effectively,positive,4,2
embarrassing,negative,4,-2
embarrassment,negative,4,-2
ethical,positive,4,2
exploit,negative,4,-2
fails,negative,4,-2
faithful,positive,4,3
fearful,negative,4,-2
fond,positive,4,2
fresh,positive,4,1
frustration,negative,4,-2
gaining,positive,4,2
generous,positive,4,2
grace,positive,4,1
horrendous,negative,4,-3
hysterical,negative,4,-3
idiotic,negative,4,-3
impressed,positive,4,3
insensitive,negative,4,-2
inspire,positive,4,2
intense,negative,4,1
intimidation,negative,4,-2
irrational,negative,4,-1
isolated,negative,4,-1
madness,negative,4,-3
mourn,negative,4,-2
murderous,negative,4,-3
noble,positive,4,2
poorest,negative,4,-2
prosecute,negative,4,-1
revive,positive,4,2
risks,negative,4,-2
safely,positive,4,1
satisfied,positive,4,2
smiling,positive,4,2
sore,negative,4,-1
steals,negative,4,-2
stereotype,negative,4,-2
strike,negative,4,-1
struck,negative,4,-1
threaten,negative,4,-2
trauma,negative,4,-3
treason,negative,4,-3
violate,negative,4,-2
warm,positive,4,1
worsening,negative,4,-3
accomplish,positive,3,2
affection,positive,3,3
appalling,negative,3,-2
applaud,positive,3,2
appreciated,positive,3,2
bargain,positive,3,2
belittle,negative,3,-2
boost,positive,3,1
cheated,negative,3,-3
clash,negative,3,-2
comprehensive,positive,3,2
confident,positive,3,2
conflicts,negative,3,-2
