date,year,month,month_name,key_word,value
2014-06-01,2014,6,June,terrorism,0
2014-07-01,2014,7,July,muslim,17
2014-07-01,2014,7,July,terrorism,9
2014-08-01,2014,8,August,muslim,0
2014-08-01,2014,8,August,terrorism,0
2014-09-01,2014,9,September,muslim,8
2014-09-01,2014,9,September,terrorism,12
2014-10-01,2014,10,October,muslim,16
2014-10-01,2014,10,October,terrorism,0
2014-11-01,2014,11,November,muslim,17
2014-11-01,2014,11,November,terrorism,9
2014-12-01,2014,12,December,muslim,0
2014-12-01,2014,12,December,terrorism,0
2015-01-01,2015,1,January,muslim,27
2015-01-01,2015,1,January,terrorism,13
2015-02-01,2015,2,February,muslim,10
2015-02-01,2015,2,February,terrorism,10
2015-03-01,2015,3,March,muslim,18
2015-03-01,2015,3,March,terrorism,0
2015-04-01,2015,4,April,muslim,19
2015-04-01,2015,4,April,terrorism,10
2015-05-01,2015,5,May,muslim,0
2015-05-01,2015,5,May,terrorism,21
2015-06-01,2015,6,June,muslim,16
2015-06-01,2015,6,June,terrorism,11
2015-07-01,2015,7,July,muslim,22
2015-07-01,2015,7,July,terrorism,33
2015-08-01,2015,8,August,muslim,11
2015-08-01,2015,8,August,terrorism,0
2015-09-01,2015,9,September,muslim,51
2015-09-01,2015,9,September,terrorism,0
2015-10-01,2015,10,October,muslim,19
2015-10-01,2015,10,October,terrorism,14
2015-11-01,2015,11,November,muslim,33
2015-11-01,2015,11,November,terrorism,24
2015-12-01,2015,12,December,muslim,94
2015-12-01,2015,12,December,terrorism,35
2016-01-01,2016,1,January,muslim,9
2016-01-01,2016,1,January,terrorism,9
2016-02-01,2016,2,February,muslim,13
2016-02-01,2016,2,February,terrorism,13
2016-03-01,2016,3,March,muslim,13
2016-03-01,2016,3,March,terrorism,10
2016-04-01,2016,4,April,muslim,13
2016-04-01,2016,4,April,terrorism,9
2016-05-01,2016,5,May,muslim,14
2016-05-01,2016,5,May,terrorism,9
2016-06-01,2016,6,June,muslim,23
2016-06-01,2016,6,June,terrorism,12
2016-07-01,2016,7,July,muslim,16
2016-07-01,2016,7,July,terrorism,7
2016-08-01,2016,8,August,muslim,13
2016-08-01,2016,8,August,terrorism,7
2016-09-01,2016,9,September,muslim,18
2016-09-01,2016,9,September,terrorism,21
2016-10-01,2016,10,October,muslim,14
2016-10-01,2016,10,October,terrorism,14
2016-11-01,2016,11,November,muslim,44
2016-11-01,2016,11,November,terrorism,17
2016-12-01,2016,12,December,muslim,23
2016-12-01,2016,12,December,terrorism,19
2017-01-01,2017,1,January,muslim,69
2017-01-01,2017,1,January,terrorism,14
2017-02-01,2017,2,February,muslim,100
2017-02-01,2017,2,February,terrorism,8
2017-03-01,2017,3,March,muslim,20
2017-03-01,2017,3,March,terrorism,21
2017-04-01,2017,4,April,muslim,28
2017-04-01,2017,4,April,terrorism,28
2017-05-01,2017,5,May,muslim,35
2017-05-01,2017,5,May,terrorism,35
2017-06-01,2017,6,June,muslim,26
2017-06-01,2017,6,June,terrorism,26
2017-07-01,2017,7,July,muslim,45
2017-07-01,2017,7,July,terrorism,0
2017-08-01,2017,8,August,muslim,14
2017-08-01,2017,8,August,terrorism,28
2017-09-01,2017,9,September,muslim,14
2017-09-01,2017,9,September,terrorism,14
2017-10-01,2017,10,October,muslim,27
2017-10-01,2017,10,October,terrorism,21
2017-11-01,2017,11,November,muslim,58
2017-11-01,2017,11,November,terrorism,0
2017-12-01,2017,12,December,muslim,15
2017-12-01,2017,12,December,terrorism,29
2018-01-01,2018,1,January,muslim,27
2018-01-01,2018,1,January,terrorism,13
2018-02-01,2018,2,February,muslim,0
2018-02-01,2018,2,February,terrorism,16
2018-03-01,2018,3,March,muslim,0
2018-03-01,2018,3,March,terrorism,15
2018-04-01,2018,4,April,muslim,16
2018-04-01,2018,4,April,terrorism,16
2018-05-01,2018,5,May,muslim,33
2018-05-01,2018,5,May,terrorism,16
2018-06-01,2018,6,June,muslim,0
2018-06-01,2018,6,June,terrorism,0
2018-07-01,2018,7,July,muslim,0
2018-07-01,2018,7,July,terrorism,0
2018-08-01,2018,8,August,muslim,18
2018-08-01,2018,8,August,terrorism,0
2018-09-01,2018,9,September,muslim,17
2018-09-01,2018,9,September,terrorism,17
2018-10-01,2018,10,October,muslim,0
2018-10-01,2018,10,October,terrorism,25
2018-11-01,2018,11,November,muslim,18
2018-11-01,2018,11,November,terrorism,18
2018-12-01,2018,12,December,muslim,19
2018-12-01,2018,12,December,terrorism,0
2019-01-01,2019,1,January,muslim,0
2019-01-01,2019,1,January,terrorism,0
2019-02-01,2019,2,February,muslim,19
2019-02-01,2019,2,February,terrorism,19
2019-03-01,2019,3,March,muslim,44
2019-03-01,2019,3,March,terrorism,0
2019-04-01,2019,4,April,muslim,37
2019-04-01,2019,4,April,terrorism,38
2019-05-01,2019,5,May,muslim,19
2019-05-01,2019,5,May,terrorism,19
2019-06-01,2019,6,June,muslim,19
2019-06-01,2019,6,June,terrorism,0
2019-07-01,2019,7,July,muslim,18
2019-07-01,2019,7,July,terrorism,18
2019-08-01,2019,8,August,muslim,18
2019-08-01,2019,8,August,terrorism,0
2019-09-01,2019,9,September,muslim,18
2019-09-01,2019,9,September,terrorism,0
2019-10-01,2019,10,October,muslim,0
2019-10-01,2019,10,October,terrorism,26
2019-11-01,2019,11,November,muslim,0
2019-11-01,2019,11,November,terrorism,19
2019-12-01,2019,12,December,muslim,20
2019-12-01,2019,12,December,terrorism,0
2020-01-01,2020,1,January,muslim,0
2020-01-01,2020,1,January,terrorism,0
2020-02-01,2020,2,February,muslim,16
2020-02-01,2020,2,February,terrorism,0
2020-03-01,2020,3,March,muslim,9
2020-03-01,2020,3,March,terrorism,0
2020-04-01,2020,4,April,muslim,0
2020-04-01,2020,4,April,terrorism,11
2020-05-01,2020,5,May,muslim,12
2020-05-01,2020,5,May,terrorism,12
2020-06-01,2020,6,June,muslim,0
2020-06-01,2020,6,June,terrorism,0
2020-07-01,2020,7,July,muslim,13
2020-07-01,2020,7,July,terrorism,13
2020-08-01,2020,8,August,muslim,0
2020-08-01,2020,8,August,terrorism,14
2020-09-01,2020,9,September,muslim,0
2020-09-01,2020,9,September,terrorism,14
2020-10-01,2020,10,October,muslim,0
2020-10-01,2020,10,October,terrorism,0
