word,n
anti,15208
muslim,14016
democratic,13575
asian,13413
islam,13017
south,12774
black,5340
amp,5214
people,4782
trump,4249
american,4034
president,3714
woman,3419
party,2816
de,2425
muslims,2319
vice,2314
harris,2084
it’s,2042
religion,1995
