tweet_type,mean,CI_25,CI_97.5
Muslim,-0.7101533914460536,-0.7177993266303846,-0.7024415413707223
Islam,-0.7058502665108933,-0.7127509514833106,-0.6986304732688737
Arab and South Asian,-0.3228348045397226,-0.3317062841530054,-0.3149647961328289
Anti-Democratic,-0.7629875528010136,-0.7685558571148874,-0.7558938533656497
Aggregate of ethno-religious terms,-0.5952220275543522,-0.6033018435932149,-0.5869253205383451
Aggregate of all terms,-0.6500469208694791,-0.6544018436667363,-0.6460606764448256
