word,n
muslim,12620
people,1305
amp,1168
muslims,981
ban,938
trump,857
islam,771
black,647
country,627
anti,572
christian,537
women,536
biden,518
countries,517
pro,516
religion,502
obama,472
world,468
it’s,461
american,449
