Year,key_word,total_hits
2008,Terrorism,144
2009,Terrorism,111
2010,Terrorism,182
2011,Terrorism,111
2012,Terrorism,108
2013,Terrorism,78
2014,Terrorism,95
2015,Terrorism,171
2016,Terrorism,147
2017,Terrorism,224
2018,Terrorism,136
2019,Terrorism,139
2020,Terrorism,64
