Date,Year,Month_1,Month (Name),key_word,value
2014-10,2014,10,October,Muslim,16
2014-10,2014,10,October,Terrorism,0
2014-11,2014,11,November,Muslim,17
2014-11,2014,11,November,Terrorism,9
2014-12,2014,12,December,Muslim,0
2014-12,2014,12,December,Terrorism,0
2015-01,2015,1,January,Muslim,27
2015-01,2015,1,January,Terrorism,13
2015-02,2015,2,February,Muslim,10
2015-02,2015,2,February,Terrorism,10
2015-03,2015,3,March,Muslim,18
2015-03,2015,3,March,Terrorism,0
2015-04,2015,4,April,Muslim,19
2015-04,2015,4,April,Terrorism,10
2015-05,2015,5,May,Muslim,0
2015-05,2015,5,May,Terrorism,21
2015-06,2015,6,June,Muslim,16
2015-06,2015,6,June,Terrorism,11
2015-07,2015,7,July,Muslim,22
2015-07,2015,7,July,Terrorism,33
2015-08,2015,8,August,Muslim,11
2015-08,2015,8,August,Terrorism,0
2015-09,2015,9,September,Muslim,51
2015-09,2015,9,September,Terrorism,0
2015-10,2015,10,October,Muslim,19
2015-10,2015,10,October,Terrorism,14
2015-11,2015,11,November,Muslim,33
2015-11,2015,11,November,Terrorism,24
2015-12,2015,12,December,Muslim,94
2015-12,2015,12,December,Terrorism,35
2016-01,2016,1,January,Muslim,9
2016-01,2016,1,January,Terrorism,9
2016-02,2016,2,February,Muslim,13
2016-02,2016,2,February,Terrorism,13
2016-03,2016,3,March,Muslim,13
2016-03,2016,3,March,Terrorism,10
2016-04,2016,4,April,Muslim,13
2016-04,2016,4,April,Terrorism,9
2016-05,2016,5,May,Muslim,14
2016-05,2016,5,May,Terrorism,9
2016-06,2016,6,June,Muslim,23
2016-06,2016,6,June,Terrorism,12
2016-07,2016,7,July,Muslim,16
2016-07,2016,7,July,Terrorism,7
2016-08,2016,8,August,Muslim,13
2016-08,2016,8,August,Terrorism,7
2016-09,2016,9,September,Muslim,18
2016-09,2016,9,September,Terrorism,21
2016-10,2016,10,October,Muslim,14
2016-10,2016,10,October,Terrorism,14
2016-11,2016,11,November,Muslim,44
2016-11,2016,11,November,Terrorism,17
2016-12,2016,12,December,Muslim,23
2016-12,2016,12,December,Terrorism,19
2017-01,2017,1,January,Muslim,69
2017-01,2017,1,January,Terrorism,14
2017-02,2017,2,February,Muslim,100
2017-02,2017,2,February,Terrorism,8
2017-03,2017,3,March,Muslim,20
2017-03,2017,3,March,Terrorism,21
2017-04,2017,4,April,Muslim,28
2017-04,2017,4,April,Terrorism,28
