word,n
anti,14194
democratic,13416
trump,2857
party,2480
amp,1433
people,1422
american,1359
gop,1298
election,1246
vote,1210
democracy,1046
votes,895
republican,823
republicans,797
it’s,792
biden,742
president,680
senate,653
realdonaldtrump,622
electoral,596
