word,n
muslim,4672
asian,4433
islam,4336
south,4255
black,1744
amp,1206
woman,1197
people,1089
president,1049
american,898
de,816
vice,800
muslims,731
harris,713
religion,661
women,629
kamala,607
vp,511
white,476
trump,453
